culture_name,harvested_area,volume_production,yield_1ha
wheat,3544.6,13728.9,38.7
barley,1077.0,3921.4,36.4
leguminous crops,281.0,642.3,22.9
Rapeseeds,872.0,2202.5,25.2
Others,67.9,279.0,211.0
